15	10	E	-9002718.417558074	181
emissionprobs	14	6	H3k09me3	1	0.00144015560030087
emissionprobs	14	7	H3k27ac	0	0.9989969321468966
emissionprobs	14	7	H3k27ac	1	0.0010030678531034616
emissionprobs	14	8	H3k36me3	0	0.9999415953148024
emissionprobs	14	8	H3k36me3	1	5.840468519762573E-5
emissionprobs	14	9	H4k20me1	0	0.9898049679144504
emissionprobs	14	9	H4k20me1	1	0.010195032085549586
emissionprobs	15	0	Ctcf	0	0.0710313915471826
emissionprobs	15	0	Ctcf	1	0.9289686084528174
emissionprobs	15	1	Ezh239875	0	0.9279093085735133
emissionprobs	15	1	Ezh239875	1	0.07209069142648669
emissionprobs	15	2	H2az	0	0.941348653189716
emissionprobs	15	2	H2az	1	0.05865134681028414
emissionprobs	15	3	H3k04me2	0	0.9813959207393151
emissionprobs	15	3	H3k04me2	1	0.018604079260684903
emissionprobs	15	4	H3k04me3	0	0.9999916249752425
emissionprobs	15	4	H3k04me3	1	8.375024757507458E-6
emissionprobs	15	5	H3k09ac	0	0.9748816636637148
emissionprobs	15	5	H3k09ac	1	0.025118336336285175
emissionprobs	15	6	H3k09me3	0	0.9937752766799584
emissionprobs	15	6	H3k09me3	1	0.00622472332004171
emissionprobs	15	7	H3k27ac	0	0.9888590853120204
emissionprobs	15	7	H3k27ac	1	0.011140914687979718
emissionprobs	15	8	H3k36me3	0	0.9899398854674326
emissionprobs	15	8	H3k36me3	1	0.010060114532567397
emissionprobs	15	9	H4k20me1	0	0.9570261976558243
emissionprobs	15	9	H4k20me1	1	0.04297380234417571
